Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Madagascar,MDG,Africa,0.0,6.0,9.15748091603,31.87,Republic,9981.0,34313.0,1513.0,93.3,21146000.0,226657.32,0.0,50.2,49.8,0.0,50.0
Mexico,MEX,North America,1395.0,2874.0,15.0,3.4,Republic,1144331.0,1103460.0,752.0,142.33,108396211.0,761605.5,0.0,51.6,48.4,0.0,52.3
Macedonia,MKD,Europe,1398.0,697.0,9.15748091603,1.02,Republic,460742.224359,130730.0,619.0,209.45,2048620.0,9781.12,0.0,49.9,50.1,1.0,30.4
Mali,MLI,Africa,13558.0,15908.0,9.15748091603,42.9,Republic,13100.0,195553.0,282.0,30.32,14517176.0,478766.48,0.0,49.6,50.4,1.0,36.1
Myanmar,MMR,Asia,0.0,0.0,9.15748091603,15.1056878205,Republic,64866.0,103117.0,1110.7875,192.75,50496000.0,261970.21,0.0,51.5,48.5,0.0,29.4510638298
Montenegro,MNE,Europe,16364.0,1762.0,9.15748091603,1.0,Republic,3993.0,82541.0,1110.7875,256.00425,41738534.0,319456.926,0.0,50.6,49.4,0.0,6.6
Mongolia,MNG,Asia,12.0,6.0,7.9,1.87,Republic,11758.0,17225.0,241.0,4.58,2768800.0,604249.63,0.0,50.5,49.5,0.0,29.8
Mozambique,MOZ,Africa,4077.0,5609.0,5.0,27.44,Republic,14689.0,218881.0,1032.0,75.63,23406000.0,309495.5,0.0,51.1,48.9,0.0,52.0
Mauritania,MRT,Africa,26717.0,77380.0,9.15748091603,44.6,Republic,5442.0,90206.0,92.0,8.46,3366000.0,397955.33,0.0,49.6,50.4,0.0,40.0
Malawi,MWI,Africa,5740.0,9013.0,9.15748091603,4.3,Republic,6565.0,206578.0,1181.0,343.03,15692000.0,45745.36,1.0,49.9,50.1,0.0,53.0
Malaysia,MYS,Asia,81516.0,94111.0,2.3,3.63,Constitutional monarchy,296218.0,3276880.0,2875.0,222.33,28306700.0,127317.13,0.0,51.5,48.5,0.0,3.8
Namibia,NAM,Africa,7254.0,1725.0,6.0,19.24,Republic,11546.0,51448.0,285.0,6.94,2212000.0,318695.54,0.0,51.5,48.5,0.0,28.7
Niger,NER,Africa,314.0,124712.0,9.15748091603,61.12,Republic,7143.0,132294.0,151.0,32.48,15891000.0,489191.23,1.0,49.6,50.4,0.0,63.0
Nigeria,NGA,Africa,8747.0,1372.0,1.3,69.68,Republic,481066.0,1233592.0,1150.0,443.71,170123000.0,356668.67,0.0,49.1,50.9,0.0,70.0
Nicaragua,NIC,North America,64.0,325.0,13.0,9.24,Republic,12693.0,41482.0,2391.0,116.44,5822000.0,49997.89,0.0,50.5,49.5,0.0,42.5
