Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Romania,ROU,Europe,1021.0,2546.0,2.3,4.86,Republic,177954.0,226943.0,637.0,197.0,4290612.0,21831.0,0.0,51.3,48.7,0.0,22.2
Russia,RUS,Asia,4922.0,314472.0,15.0,1.53,Constitutional monarchy,1326015.0,11643276.0,460.0,8.39,332529.0,39682.0,0.0,53.9,46.1,0.0,11.0
Rwanda,RWA,Africa,55398.0,144724.0,9.15748091603,2.02,Constitutional monarchy,8096.0,452406.0,1212.0,904.0,394173.0,436.0,1.0,51.2,48.8,0.0,44.9
Western Sahara,-99,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,2899.16,161187518.0,55598.0,0.0,47.4,52.6,0.0,29.8166666667
Saudi Arabia,SAU,Asia,582.0,117.0,0.9,7.64,Republic,646002.0,9060433.0,59.0,16.0,17186000.0,1052090.0,0.0,42.5,57.5,0.0,29.8166666667
Sudan,SDN,Africa,178308.0,309627.0,9.15748091603,15.530863522,Absolute monarchy,84067.0,446707.0,416.0,37.0,324528.0,8867.0,1.0,49.8,50.2,0.0,46.5
South Sudan,SDS,Africa,67165.3910256,263012.0,9.15748091603,15.530863522,Republic,9015.0,629577.0,1120.73006135,37.0,17129076.0,458075.0,0.0,50.0,50.0,0.0,50.6
Senegal,SEN,Africa,20672.0,14383.0,1.1,31.95,Republic,13780.0,209398.0,686.0,166.0,7153784.0,42858.0,0.0,51.0,49.0,0.0,54.0
Solomon Islands,SLB,Oceania,67165.3910256,101834.734177,9.15748091603,10.68,Republic,1157.0,2585.0,3028.0,39.0,2072.0,53.0,0.0,49.2,50.8,0.0,29.8166666667
Sierra Leone,SLE,Africa,8363.0,760.0,2.6,103.37,Republic,4475.0,96368.0,2526.0,197.78,34099548.0,172414.0,0.0,50.3,49.7,0.0,70.2
El Salvador,SLV,North America,38.0,36.0,71.0,6.3,Republic,25850.0,41615.0,1724.0,548.838806151,33117866.4177,272878.705267,0.0,52.6,47.4,0.0,36.5
Somaliland,-99,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Somalia,SOM,Africa,1937.0,8071.0,9.15748091603,129.09,Republic,5953.0,24593.0,282.0,22.7,11274106.0,495755.0,1.0,50.3,49.7,0.0,29.8166666667
Republic of Serbia,SRB,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,29.8166666667
Suriname,SUR,South America,1.0,101834.734177,14.0,9.06,Constitutional monarchy,4878.0,41670.0,2331.0,11054.0,29873.0,2.6,0.0,49.9,50.1,0.0,70.0
Slovakia,SVK,Europe,461.0,796.0,1.74,15.530863522,Constitutional monarchy,452175.371069,177190.0,824.0,256.0,8264070.0,32278.0,0.0,51.4,48.6,0.0,21.0
Slovenia,SVN,Europe,314.0,269.0,0.55,1.48,Republic,42747.0,235966.0,1162.0,241.0,313626.0,1295.0,0.0,50.3,49.7,0.0,13.5
Sweden,SWE,Europe,82629.0,169461.0,0.89,0.32,Republic,492618.0,1639771.0,624.0,42.0,6672631.0,157048.0,0.0,50.2,49.8,0.0,29.8166666667
